Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.021819,0.00036559,0.44071,0,0,0,1.4192,0.0013636,2.5035E-07,-6.0172E-05,0.0013393,4.8068E-07,0.0014954,0,0,0,0,0,0,package://RobotBarelangFCv2/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://RobotBarelangFCv2/meshes/base_link.STL,,Badan-1,Coordinate System2,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
HeadPan,-0.00690715851776342,0.00011491832934192,0.0181588161003367,0,0,0,0.0462633634793822,7.75509641488574E-06,-1.39714832801768E-07,1.56705524549555E-09,1.05149666401193E-05,-5.63649456257371E-10,1.25360571590161E-05,0,0,0,0,0,0,package://RobotBarelangFCv2/meshes/HeadPan.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RobotBarelangFCv2/meshes/HeadPan.STL,,Kepala pan-1,Coordinate System21,Axis15,Head_Pan,revolute,-0.0020904,1.551E-05,0.55919,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
HeadTilt,0.0527231965370506,-0.0229840807532466,0.0182194907767464,0,0,0,0.12343985298717,7.2099043534812E-05,-1.83941162549768E-08,2.50654539919069E-06,7.09245930084636E-05,-3.64067914544146E-09,4.36923990913498E-05,0,0,0,0,0,0,package://RobotBarelangFCv2/meshes/HeadTilt.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RobotBarelangFCv2/meshes/HeadTilt.STL,,Kepala tilt-1,Coordinate System22,Axis16,Head_Tilt,revolute,0.00435597411124916,0.0229352636444304,0.0187499819805001,0,0,0,HeadPan,0.0154980103256278,0.999879898625803,0,0,0,0,0,,,,,,,,
ShoulderR,-0.000156484321006373,-0.0205014174148071,-0.00304876272481368,0,0,0,0.010534896659227,1.89996458140282E-06,4.86801440577649E-09,-1.75423657575243E-09,2.5971478196704E-06,-2.37823953533018E-07,1.91050463657821E-06,0,0,0,0,0,0,package://RobotBarelangFCv2/meshes/ShoulderR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RobotBarelangFCv2/meshes/ShoulderR.STL,,Tangan pitch atas_kiri-2,Coordinate System19,Axis18,Shoulder_R,revolute,-0.0037409,-0.087473,0.52519,0,0,0,base_link,-0.0074351,-0.99997,0,0,0,0,0,,,,,,,,
ArmUpperR,-0.0244342127959208,-0.00847436198130949,-0.0357718784630593,0,0,0,0.154678448528937,4.54786894090666E-05,-8.40790115457448E-09,5.87331392387766E-08,6.11992633224385E-05,2.76823233408509E-07,3.89919971038739E-05,0,0,0,0,0,0,package://RobotBarelangFCv2/meshes/ArmUpperR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RobotBarelangFCv2/meshes/ArmUpperR.STL,,Tangan Roll_kanan-1,Coordinate System17,Axis17,ArmUpper_R,revolute,0.0248860760663777,-0.0388261027790395,-0.0180334623688993,-0.698131700801914,0.00132860804796026,-0.00743513405298813,ShoulderR,1,0,0,0,0,0,0,,,,,,,,
ArmLowerR,0.0240216694041203,-0.0290694370575308,-0.0191352227542041,0,0,0,0.107970968559895,3.31349088675279E-05,2.59450673368748E-07,7.24567265441542E-09,6.58851118238035E-05,-3.49128842826041E-07,5.50777864907688E-05,0,0,0,0,0,0,package://RobotBarelangFCv2/meshes/ArmLowerR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RobotBarelangFCv2/meshes/ArmLowerR.STL,,Tangan pitch bawah_kanan-1,Coordinate System15,Axis12,ArmLower_R,revolute,-0.00719800000000403,0.0251980000000493,-0.129679999999994,0,0,0,ArmUpperR,0,1,0,0,0,0,0,,,,,,,,
ShoulderL,0.000261895646945925,0.0205006336529904,-0.00304679963338526,0,0,0,0.0105348966592106,1.89985591600681E-06,-3.35441947308207E-09,1.38774793779093E-09,2.59727009772736E-06,2.37673535765104E-07,1.91049102391572E-06,0,0,0,0,0,0,package://RobotBarelangFCv2/meshes/ShoulderL.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RobotBarelangFCv2/meshes/ShoulderL.STL,,Tangan pitch atas_kiri-1,Coordinate System20,Axis14,Shoulder_L,revolute,-0.0024398,0.087519,0.52519,0,0,0,base_link,0.0074351,0.99997,0,0,0,0,0,,,,,,,,
ArmUpperL,-0.0233521726601068,0.00848781218668862,-0.0357790732963709,0,0,0,0.154667131533028,4.54781293664204E-05,8.4097507916865E-09,5.94608683129661E-08,6.11962642976461E-05,-2.89048842856468E-07,3.89917109145693E-05,0,0,0,0,0,0,package://RobotBarelangFCv2/meshes/ArmUpperL.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RobotBarelangFCv2/meshes/ArmUpperL.STL,,Tangan Roll_kiri-1,Coordinate System18,Axis13,ArmUpper_L,revolute,0.0250050819909849,0.0387388001770201,-0.0167228679461669,0.714066626697813,-0.0359123680458452,-0.0074351340529481,ShoulderL,1,0,0,0,0,0,0,,,,,,,,
ArmLowerL,0.0240180111362403,0.0293450060997243,-0.0191352227417643,0,0,0,0.107970968690105,3.31349742553083E-05,-2.63421991518405E-07,7.20441763467261E-09,6.58850464639245E-05,3.49076483964279E-07,5.50777865343941E-05,0,0,0,0,0,0,package://RobotBarelangFCv2/meshes/ArmLowerL.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RobotBarelangFCv2/meshes/ArmLowerL.STL,,Tangan pitch bawah_kiri-1,Coordinate System16,Axis11,ArmLower_L,revolute,-0.00609999999999598,-0.0251599999998639,-0.129680000000032,0,0,-0.000125029539284268,ArmUpperL,0.00012502954251104,-0.999999992183807,0,0,0,0,0,,,,,,,,
HipYawR,0.00285122406115462,-2.11994798149651E-05,-0.0222178914831862,0,0,0,0.0140500625942956,3.05902768277502E-06,4.93690582987227E-09,-1.37063946099208E-11,3.72271108633773E-06,9.64119296159335E-14,3.61846496909267E-06,0,0,0,0,0,0,package://RobotBarelangFCv2/meshes/HipYawR.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://RobotBarelangFCv2/meshes/HipYawR.STL,,Hip Roll_kiri-2,Coordinate System13,Axis19,HipYaw_R,revolute,-0.0035164,-0.057274,0.357,0,0,0,base_link,0,0,-1,0,0,0,0,,,,,,,,
